has_driver	CADD_score_norm_sum
Passengers in presence of driver	0.05014862308115159
Passengers in absence of driver	0.47932242113362505
Drivers	0.1877734158961306
Passengers in absence of driver	0.20536060195720926
Passengers in absence of driver	0.10200187425750161
Drivers	0.26372127361983994
Passengers in presence of driver	0.4032552068529363
Passengers in absence of driver	0.22507985362641478
Passengers in absence of driver	0.05812280320756458
Passengers in absence of driver	1.1485600011515593
Passengers in absence of driver	0.6692187306754167
Drivers	0.10719443958441119
Drivers	0.17987115266072318
Passengers in absence of driver	0.35707090674123954
Passengers in absence of driver	0.09105607519309498
Passengers in absence of driver	0.1837861891291949
Passengers in absence of driver	0.09866115221176162
Passengers in absence of driver	0.04546224286234013
Passengers in absence of driver	0.08508225832954014
Drivers	0.09643635641331269
Passengers in absence of driver	0.2666833971778172
Drivers	0.18412226330172204
Passengers in presence of driver	0.03828924020478286
Passengers in absence of driver	0.02724218735870462
Passengers in absence of driver	0.24186629269662946
Passengers in absence of driver	0.11856227235361946
Drivers	0.20096172007455515
Passengers in presence of driver	0.6087507554086912
Passengers in absence of driver	0.2801411608846708
Passengers in absence of driver	1.095449565142878
Passengers in absence of driver	1.0039280714229968
Passengers in absence of driver	0.06687248010230434
Drivers	0.18594951217925024
Passengers in absence of driver	0.09270847229453551
Passengers in absence of driver	0.054063014834525885
Passengers in absence of driver	0.04794068918790303
Passengers in absence of driver	0.06827791532743335
Passengers in absence of driver	0.06318164066519602
Passengers in absence of driver	0.047792208285485784
Passengers in absence of driver	0.15261310631009536
Passengers in absence of driver	0.026650251760903333
Passengers in absence of driver	0.060458892934005234
Passengers in absence of driver	0.6131521387506139
Passengers in absence of driver	0.060983445856286324
Passengers in absence of driver	0.022741666781523114
Passengers in absence of driver	0.0
Passengers in absence of driver	0.03213034511481621
Passengers in absence of driver	0.03650210628774908
Passengers in absence of driver	0.31383469069659864
Passengers in absence of driver	0.6898483308307971
Passengers in absence of driver	0.7421542110589064
Drivers	0.2688738275726791
Passengers in absence of driver	0.1190377631304775
Passengers in absence of driver	0.16892264557891534
Passengers in absence of driver	0.07178718856792833
Passengers in absence of driver	0.3780852521458815
Passengers in absence of driver	0.08696157273477283
Passengers in absence of driver	0.34756236116442885
Passengers in absence of driver	0.15705761397526305
Passengers in absence of driver	0.05826128026062505
Drivers	0.2463726248315356
Passengers in absence of driver	0.292147321456667
Passengers in absence of driver	0.08847757446097675
Passengers in absence of driver	0.367054858355843
Drivers	0.2041102711500839
Passengers in absence of driver	0.601662829826051
Drivers	0.34092315386279165
Passengers in absence of driver	0.40483901146361334
Passengers in absence of driver	0.04341373101820069
Drivers	0.18587573771717275
Passengers in absence of driver	0.15346047209045613
Drivers	0.2766793664649178
Passengers in absence of driver	0.2926967408113998
Drivers	0.1587584482334955
Passengers in absence of driver	0.058359859376394194
Passengers in absence of driver	0.05353299097265147
Passengers in absence of driver	0.2369588184710509
Passengers in absence of driver	0.12853831961592796
Passengers in absence of driver	0.02492777873171525
Passengers in absence of driver	1.1881272926978326
Drivers	0.4532015292101005
Passengers in presence of driver	0.13228241333908947
Passengers in absence of driver	1.2385004386200853
Passengers in absence of driver	0.06965780456135377
Passengers in absence of driver	0.3418458659510225
Drivers	0.2909201061326385
Passengers in absence of driver	0.10571867988459223
Passengers in absence of driver	0.19493468575871273
Passengers in absence of driver	0.08212069923204363
Passengers in absence of driver	0.37696650928192227
Passengers in absence of driver	1.2254538242464794
Passengers in absence of driver	1.094819655427428
Passengers in absence of driver	0.9590399786302337
Drivers	0.06948973537135186
Passengers in presence of driver	0.16366537576803436
Passengers in absence of driver	0.029581393798569795
Passengers in absence of driver	0.1093987749464137
Passengers in absence of driver	0.2255942535576226
Passengers in absence of driver	0.047954180907445285
Passengers in absence of driver	0.07947528062963435
Passengers in absence of driver	0.18809597911009693
Drivers	0.20524184820759908
Passengers in absence of driver	0.3009794665158183
Drivers	0.17420130238418827
Passengers in absence of driver	0.11701785683045798
Passengers in absence of driver	0.07658226030988917
Passengers in absence of driver	0.8230561637818129
Drivers	0.2729285835312733
Passengers in absence of driver	0.6585917388842241
Passengers in absence of driver	0.9739692507105471
Drivers	0.05902800889822701
Passengers in presence of driver	0.035590446161593695
Passengers in absence of driver	0.1393407915355714
Passengers in absence of driver	0.06437248798451758
Passengers in absence of driver	0.03092336024699714
Passengers in absence of driver	0.8054834528590583
Drivers	0.16242550199484787
Passengers in absence of driver	0.04835155206722
Passengers in absence of driver	0.1131649193639356
Passengers in absence of driver	0.13859979101230652
Passengers in absence of driver	0.04105979375236373
Passengers in absence of driver	0.3465706135964736
Drivers	0.26808568077881
Passengers in absence of driver	0.030782730505565462
Drivers	0.29664013475032475
Passengers in absence of driver	0.05990528270763954
Passengers in absence of driver	0.05737668651267883
