driver_status	adj_splicing_density
Passengers in absence of driver	4.949182356215939
Passengers in absence of driver	5.489053665773793
Drivers	28.922841090680336
Drivers	3.4889655620084166
Passengers in presence of driver	3.4889655620084166
Passengers in absence of driver	3.3490731398222127
Passengers in absence of driver	0.16538034694171375
Passengers in absence of driver	0.20513581967778344
Passengers in absence of driver	0.2297355676131949
Passengers in absence of driver	2.4467873428153553
Passengers in absence of driver	3.0220230451550063
Passengers in absence of driver	0.21948175888216487
Passengers in absence of driver	3.291408418421035
Passengers in absence of driver	1.9001162369024922
Drivers	0.10052403817227888
Passengers in presence of driver	1.608384610756462
Drivers	0.32719481772487946
Passengers in presence of driver	0.16359740886243973
Passengers in absence of driver	0.4671759042830717
Drivers	15.257095443947852
Drivers	24.68636970177662
Passengers in absence of driver	0.23894660399188045
Drivers	0.20747057230724436
Passengers in presence of driver	0.4149411446144887
Passengers in absence of driver	5.209758830698935
Passengers in absence of driver	1.9102613688117067
Passengers in absence of driver	2.2197978976957278
Passengers in absence of driver	2.8946691931030015
Passengers in absence of driver	0.8557377114147253
Drivers	1.0166815216863216
Passengers in absence of driver	0.6299907536513021
Passengers in absence of driver	2.5519694624954194
Passengers in absence of driver	2.3553172542878067
Passengers in absence of driver	2.425653434336998
Passengers in absence of driver	2.814119678398006
Drivers	31.621389201740264
Drivers	23.161006997157347
Passengers in absence of driver	1.0510631817760332
Drivers	13.826942506103947
Passengers in absence of driver	3.022067646353596
Drivers	24.77040926908715
Passengers in absence of driver	2.3027201482205695
Drivers	14.267095725792126
Drivers	5.987640940273386
Drivers	9.000793960035216
Passengers in absence of driver	1.6678887823882333
Drivers	16.12455899331153
Drivers	20.41343586832058
Passengers in absence of driver	1.8527528494224277
Passengers in absence of driver	2.3676108957568105
Passengers in absence of driver	13.71605253779619
Drivers	2.193163806979818
Passengers in absence of driver	1.9414345353455884
Passengers in absence of driver	4.054804905292125
Passengers in absence of driver	0.9106804521466518
Passengers in absence of driver	1.0831913258786026
Passengers in absence of driver	0.89687294667245
Passengers in absence of driver	1.1366931949202899
Passengers in absence of driver	2.4424265017180984
Passengers in absence of driver	1.838113147444338
Passengers in absence of driver	0.862081782713229
Passengers in absence of driver	1.284413884202939
Passengers in absence of driver	10.434465673142642
Passengers in absence of driver	1.458502823515616
Drivers	145.14367409439419
Passengers in absence of driver	10.383792229455226
Passengers in absence of driver	150.49734905974194
Drivers	3.3412578781744466
Passengers in absence of driver	4.026619554341499
Passengers in absence of driver	1.7418747575164046
Drivers	11.164159475552445
Passengers in absence of driver	1.2145651195693055
Passengers in absence of driver	0.6958525824822444
Passengers in absence of driver	45.25673381708474
Passengers in absence of driver	3.507100577205737
Drivers	2.600367977259847
Passengers in presence of driver	2.600367977259847
Drivers	19.843484515880988
Passengers in absence of driver	2.8418423979710554
Passengers in absence of driver	6.044131863434714
Passengers in absence of driver	3.896807681079453
Passengers in absence of driver	5.50036767379602
Drivers	18.040729427282386
Passengers in absence of driver	194.97228027301847
Drivers	5.3687225655655455
Passengers in absence of driver	7.327010593036097
Drivers	85.11399796513709
Passengers in presence of driver	510.6839877908226
Passengers in absence of driver	2.0925672153106527
Passengers in absence of driver	3.8688180893244133
Passengers in absence of driver	883.2043647959708
Drivers	12.904393966308644
Passengers in absence of driver	3.220858816946721
Passengers in absence of driver	2.3615974025049944
Drivers	7.703823649384657
Passengers in absence of driver	2.9933798459851686
Passengers in absence of driver	3.0384429326000646
Drivers	13.801089043936457
Passengers in absence of driver	1.9671236553717801
Passengers in absence of driver	3.2195235773156714
Passengers in absence of driver	0.6441910225842828
Drivers	22.991597720613
Passengers in absence of driver	21.592716269373508
Passengers in absence of driver	6.591747216118213
Passengers in absence of driver	5.474726597029672
Passengers in absence of driver	3.210017852604569
Drivers	23.688122183334222
Passengers in absence of driver	1.5257897157417983
Drivers	37.51845438975296
Drivers	4.395394462387674
Drivers	0.5676917377265279
Passengers in presence of driver	1.7030752131795837
Drivers	2.642913315855902
Passengers in absence of driver	1.6791225276651556
Drivers	4.734672503886574
Passengers in absence of driver	9.034763599729805
Drivers	1.7545154566177465
Passengers in absence of driver	11.949626350121065
Passengers in absence of driver	2.180801039332638
Drivers	4.740900786527737
Passengers in absence of driver	2.650275902831808
Passengers in absence of driver	1.0909784811324803
Drivers	9.46321341391575
Passengers in absence of driver	3.2760740787344917
Passengers in absence of driver	0.8923088452136198
Passengers in absence of driver	2.2210258743469007
Drivers	5.719055406494731
Passengers in absence of driver	3.4781140591268933
Passengers in absence of driver	5.9804750124596655
Passengers in absence of driver	2.2223203557994475
Passengers in absence of driver	9.702045395518706
Passengers in absence of driver	3.2829715865328963
Passengers in absence of driver	11.662300592882206
Passengers in absence of driver	3.21617816412922
Passengers in absence of driver	5.020951331573553
Drivers	11.016079562009764
Passengers in absence of driver	0.24769261648974
Drivers	0.21506448738292752
Passengers in presence of driver	0.21506448738292752
Passengers in absence of driver	5.400448361677477
Passengers in absence of driver	2.20866394299497
Passengers in absence of driver	2.301047766208732
Passengers in absence of driver	7.111285716879746
Passengers in absence of driver	3.0756364756483334
Passengers in absence of driver	1.8754977391706769
Drivers	1.0538944769929124
Passengers in presence of driver	3.161683430978737
Passengers in absence of driver	0.3265249548002296
Passengers in absence of driver	4.231761285008676
Passengers in absence of driver	1.6223152693709357
Passengers in absence of driver	1.5871971865723598
Passengers in absence of driver	1.7700979159034744
Passengers in absence of driver	2.535325579053043
Passengers in absence of driver	12.143075590823905
Passengers in absence of driver	2.190623071408515
Passengers in absence of driver	1.863016570391795
Drivers	11.542798967150349
Passengers in presence of driver	11.542798967150349
Drivers	2.943567962639735
Drivers	5.063824315071554
