driver_status	type	adj_splicing_density
Passengers in presence of driver	TSG	44.89468828495556
Passengers in absence of driver	TSG	4.922407256075004
Passengers in absence of driver	TSG	0.3190099901811862
Passengers in absence of driver	OG	0.18465822943681068
Passengers in absence of driver	OG	3.1020347802310986
Passengers in absence of driver	OG	2.419542924816352
Drivers	OG	1.5264693923643775
Passengers in presence of driver	OG	3.052938784728755
Drivers	OG	0.45244635807360534
Passengers in absence of driver	TSG	1.4726637165776209
Drivers	TSG	5.3221410658170925
Passengers in presence of driver	TSG	5.3221410658170925
Drivers	TSG	13.47766111364566
Passengers in absence of driver	TSG	11.369418617388877
Drivers	TSG	56.95612242718516
Drivers	OG	19.075289799253916
Passengers in presence of driver	OG	267.05405718955484
Passengers in absence of driver	TSG	2.5605117834876303
Drivers	OG	0.5100618549668422
Drivers	TSG	3.269128200333484
Passengers in absence of driver	TSG	3.5874648596606167
Passengers in absence of driver	TSG	1.836097001129162
Passengers in absence of driver	TSG	0.4461456237328994
Passengers in absence of driver	TSG	6.00255088904494
Passengers in absence of driver	TSG	8.769281443872712
Drivers	TSG	113.04919830454465
Passengers in absence of driver	OG	0.9438211967952822
Drivers	TSG	0.2982661838741561
Passengers in presence of driver	TSG	0.5965323677483122
Passengers in absence of driver	OG	30.98047815996097
Drivers	OG	0.31190251460862045
Passengers in presence of driver	OG	6.54995280678103
Passengers in absence of driver	TSG	3.4522546061093635
Passengers in absence of driver	TSG	2.8370064470942853
Passengers in absence of driver	TSG	0.7055405141005885
Drivers	TSG	2.861437875393823
Passengers in absence of driver	TSG	8.916417038568564
Passengers in absence of driver	TSG	0.7063604234928823
Passengers in absence of driver	TSG	2.2100996277757803
Passengers in absence of driver	TSG	1.4006764396814568
Passengers in absence of driver	OG	5.281228966009983
Passengers in absence of driver	TSG	1.1721498654232396
Passengers in absence of driver	OG	0.9849997675908438
Passengers in absence of driver	TSG	0.9124218262783674
Passengers in absence of driver	OG	3.8791693492486488
Passengers in absence of driver	TSG	1.3003547895322256
Drivers	TSG	6.548596160046462
Passengers in absence of driver	TSG	2.7532803878110115
Passengers in absence of driver	TSG	3.552664368046158
Drivers	TSG	70.0364224414907
Passengers in absence of driver	TSG	6.797081076512723
Passengers in absence of driver	TSG	1.4359098269938446
Passengers in absence of driver	OG	4.373560311929046
Passengers in absence of driver	TSG	3.0985503025724688
Passengers in absence of driver	TSG	2.2655230049872612
Passengers in absence of driver	TSG	0.7706861036903576
Passengers in absence of driver	OG	10.269126232364545
Drivers	TSG	16.712444838486753
Drivers	TSG	12.778201206546509
Passengers in absence of driver	OG	20.43638437418468
Passengers in absence of driver	TSG	2.604514391899516
Drivers	TSG	4.699952712894515
Drivers	OG	8.594087516211689
Passengers in absence of driver	TSG	2.1011154856407916
Passengers in absence of driver	TSG	2.4968595495428327
Drivers	TSG	11.92279513239966
Drivers	OG	12.723324159286475
Passengers in absence of driver	TSG	2.471872659973624
Drivers	TSG	22.793321556783862
Passengers in absence of driver	TSG	6.635325921154513
Passengers in absence of driver	TSG	5.160999175633601
Passengers in absence of driver	TSG	0.21691026740637945
Passengers in absence of driver	TSG	0.4774512131174421
Drivers	OG	1.4387040477646147
Passengers in presence of driver	OG	2.158056071646922
Passengers in absence of driver	TSG	2.7915770146790075
Drivers	TSG	1.822395694043454
Drivers	OG	5.54690238783054
Drivers	TSG	19.806059069590567
Passengers in absence of driver	TSG	0.3321416191680071
Passengers in absence of driver	OG	0.288389165883198
Passengers in absence of driver	OG	1.614862992278468
Passengers in absence of driver	OG	3.6765830596870432
Drivers	OG	0.7066060809187371
Passengers in presence of driver	OG	2.8264243236749484
Passengers in absence of driver	TSG	1.149962994190847
Passengers in absence of driver	TSG	1.367408241662226
Passengers in absence of driver	TSG	13.974322217860488
Drivers	TSG	1.3417285039844078
Drivers	OG	3.1339673701894557
Drivers	TSG	2.463654160556092
Drivers	TSG	11.190307403339524
Passengers in absence of driver	TSG	0.5846575783633946
Passengers in absence of driver	OG	0.25382081260075756
Passengers in absence of driver	OG	2.696568301338056
Drivers	OG	4.196397883395657
Drivers	OG	1.2438146148671239
Passengers in presence of driver	OG	1.2438146148671239
Passengers in absence of driver	TSG	0.9589785415131631
Drivers	TSG	1.5458058463451443
Passengers in absence of driver	TSG	0.7458996771237121
Drivers	OG	2.0387772112568077
Drivers	TSG	5.165007795288015
Passengers in absence of driver	TSG	5.818980393891147
Passengers in absence of driver	TSG	1.3426438996934977
Passengers in absence of driver	TSG	2.1272906134500142
Drivers	TSG	5.751669222480799
Passengers in absence of driver	TSG	2.7399166861888586
Drivers	TSG	36.05141959900276
Passengers in absence of driver	TSG	4.7198278338961375
Passengers in absence of driver	OG	3.6916565976732967
Passengers in absence of driver	TSG	1.3295873028525433
Drivers	TSG	13.181621655822585
Passengers in absence of driver	TSG	1.2763207847896123
