cancer_type	has_driver	adj_passenger_density
Panc-Endocrine	False	125.23242057403677
CNS-PiloAstro	False	36328.890061819766
Liver-HCC	True	0.0
Liver-HCC	False	13.877304654161742
Liver-HCC	False	6.003181168031246
Liver-HCC	True	0.0
Kidney-RCC	False	12.22325387445237
Kidney-RCC	False	7.002986202905224
Lymph-BNHL	False	276.64324552050346
Lymph-BNHL	False	21.43804035806849
Lymph-BNHL	True	15.89540773499615
Lymph-BNHL	True	0.0
Liver-HCC	False	9.417289758867732
Liver-HCC	False	20.029028048637628
Liver-HCC	False	12.913230900315545
Panc-Endocrine	False	128.31850902420425
Panc-Endocrine	True	0.0
Bone-Leiomyo	False	647.195371430647
Bone-Leiomyo	True	0.0
Lymph-BNHL	False	53.78036283867302
Lymph-BNHL	True	3748.427794739998
Lymph-BNHL	False	15.359473372493877
Lymph-BNHL	False	28.397180263181802
Lymph-BNHL	False	6077.561910690616
Panc-AdenoCA	True	0.0
Panc-AdenoCA	False	3.643016397613292
Panc-AdenoCA	False	2.671131692149848
Panc-AdenoCA	True	0.0
Panc-AdenoCA	False	3.3857217850817416
Panc-AdenoCA	False	3.436691285080117
Panc-AdenoCA	True	0.0
Breast-AdenoCa	False	3.9580067528738043
Breast-AdenoCa	False	6.477933415753413
Breast-AdenoCa	False	1.2961627554864543
Breast-AdenoCa	True	0.0
Cervix-SCC	False	64.39354958814585
Prost-AdenoCA	False	45.91793828506866
Prost-AdenoCA	False	38.13680193854148
Prost-AdenoCA	False	22.360900201003993
Prost-AdenoCA	True	0.0
Prost-AdenoCA	False	10.628611156706699
Prost-AdenoCA	True	0.0
ColoRect-AdenoCA	True	0.0
ColoRect-AdenoCA	True	1.7908624888033966
ColoRect-AdenoCA	True	0.0
ColoRect-AdenoCA	False	1.7656751302757552
ColoRect-AdenoCA	True	0.0
Head-SCC	False	9.11798127949537
Head-SCC	True	0.0
Head-SCC	False	6.029846168892947
Head-SCC	False	2.2008880289389867
Head-SCC	True	0.0
Head-SCC	False	2.67468714601905
Head-SCC	False	1.101027299440988
Head-SCC	True	0.0
Liver-HCC	False	9.351036115244515
Liver-HCC	False	2.54695468936645
Liver-HCC	False	6.339567624164704
Liver-HCC	True	0.0
Prost-AdenoCA	False	22.211968863460356
Prost-AdenoCA	False	38.19257290222477
Prost-AdenoCA	False	14.192205807086953
Prost-AdenoCA	False	61.95930512159153
CNS-GBM	False	10.925117751576018
CNS-GBM	False	38.809963435008314
CNS-GBM	False	10.702841686871611
CNS-GBM	False	16.708790519964438
CNS-GBM	True	0.0
Skin-Melanoma	False	0.2533401273190267
Skin-Melanoma	True	0.2199680611700791
Skin-Melanoma	False	5.523581182662639
Skin-Melanoma	False	2.259022543558406
Skin-Melanoma	False	2.3535127623904333
Skin-Melanoma	False	7.273426452705409
Skin-Melanoma	False	3.145762467086163
Skin-Melanoma	False	1.918259989989356
Skin-Melanoma	True	2.155847556265473
Skin-Melanoma	False	0.3339698808719077
Stomach-AdenoCA	False	56.97174013069521
Stomach-AdenoCA	False	21.841053337315138
Prost-AdenoCA	False	20.99467590087646
Prost-AdenoCA	False	23.413998192288307
Prost-AdenoCA	False	33.53605921540859
Prost-AdenoCA	False	160.62272452722064
Eso-AdenoCa	False	2.2227289331681543
Eso-AdenoCa	False	1.8903210178093317
Eso-AdenoCa	True	11.711970703171716
Ovary-AdenoCA	True	0.0
Ovary-AdenoCA	True	5.25793926776665
Ovary-AdenoCA	False	2.2629273705502446
Ovary-AdenoCA	True	0.0
Panc-AdenoCA	False	6.175730810093108
Panc-AdenoCA	True	0.0
Panc-AdenoCA	False	5.480481366999537
Panc-AdenoCA	True	0.0
Breast-AdenoCa	True	10.77364152661883
Breast-AdenoCa	False	6.954643763326157
Breast-AdenoCa	False	5.774625864489101
Breast-AdenoCa	True	5.058856028861354
Breast-AdenoCa	False	2.1380358834690365
Breast-AdenoCa	False	3.441551678149342
Breast-AdenoCa	False	5.135004607736683
Breast-AdenoCa	True	54.19024583090069
ColoRect-AdenoCA	False	2.5852489915517434
ColoRect-AdenoCA	True	4.3562140537179275
ColoRect-AdenoCA	False	2.6672926800074706
ColoRect-AdenoCA	False	3.3923360889868985
ColoRect-AdenoCA	True	5.392788613216976
ColoRect-AdenoCA	True	3.285441673412333
ColoRect-AdenoCA	False	10.25820962805833
ColoRect-AdenoCA	True	1.3673277318529655
ColoRect-AdenoCA	False	13.16509688273267
ColoRect-AdenoCA	True	0.0
Lung-AdenoCA	False	0.9911043921008522
Lung-AdenoCA	False	13.363205286753063
Lung-AdenoCA	False	1.868984210442808
Lung-AdenoCA	False	1.9335552393463233
Lung-AdenoCA	True	0.0
Panc-AdenoCA	False	4.394216276424041
Panc-AdenoCA	False	2.8035326544339108
Panc-AdenoCA	True	0.0
Panc-AdenoCA	False	1.7913005669690243
Panc-AdenoCA	True	0.0
Panc-AdenoCA	True	0.0
Panc-AdenoCA	False	17.303420609026194
Panc-AdenoCA	True	0.0
Panc-AdenoCA	True	0.0
Panc-AdenoCA	False	14.741224004617253
Panc-AdenoCA	False	59.852568266307
Prost-AdenoCA	False	28.152319963385768
Prost-AdenoCA	False	15.698226822923203
Prost-AdenoCA	False	13.490818440838433
Liver-HCC	False	1.5488776752705946
Liver-HCC	False	2.730577916842763
Skin-Melanoma	False	0.5939489686469696
Skin-Melanoma	True	0.5157090763703494
Skin-Melanoma	False	2.8877627897779066
Skin-Melanoma	False	11.331148794799127
Skin-Melanoma	False	5.478844440703915
Skin-Melanoma	False	2.758873007431171
