cancer_gene_type	mutation_count_bin	gene_exp
TSG	5-10	0.000885807105434976
TSG	5-10	4.311437968658562e-05
TSG	3-5	0.001073503350441553
TSG	2	0.18319743908500433
TSG	1	0.011754914210123028
OG	1	0.0023809581590900747
TSG	1	0.013672130542551333
TSG	1	0.024050396676551684
TSG	10-20	0.006591341854193178
TSG	1	0.18503297974305757
TSG	3-5	0.00026356105933887316
TSG	3-5	0.0
OG	1	0.11374728607988512
TSG	1	0.43927439016994985
TSG	3-5	0.6823039866984927
TSG	1	0.10084484472934402
TSG	1	0.16630362517669026
TSG	1	0.40530155986916283
TSG	10-20	0.0004073379759608934
OG	2	0.09148062195134521
TSG	1	0.00022820642114176448
OG	1	0.11064004654647012
TSG	1	0.11285175393779678
TSG	3-5	0.06267669660460415
TSG	10-20	0.00012230080558503503
OG	1	0.018167612825378005
TSG	2	0.17901910536699236
TSG	5-10	0.00014240466536723925
OG	1	0.09932199306489337
TSG	5-10	0.001299154463491297
TSG	20+	9.510438264320615e-05
OG	1	0.014339719160151277
OG	1	0.15401249113923207
TSG	1	0.1466063704818244
TSG	20+	0.0038733301189741716
OG	2	0.016113687296674298
TSG	2	0.23078973213884516
TSG	1	0.033346527890651234
TSG	1	0.019824115588731702
OG	1	0.022763151732969947
TSG	10-20	0.0010061035407187954
TSG	2	0.24226572525675422
TSG	1	0.026532797196779177
TSG	10-20	0.00014515085470660484
OG	1	0.02947703358673511
TSG	1	0.211061561384331
OG	1	0.30552077766412
TSG	1	0.4066794863943323
TSG	5-10	0.0006162673258704053
TSG	1	0.10571783758755798
OG	1	0.14279543762841188
OG	1	0.15615274486926917
TSG	3-5	0.010280169608264764
OG	1	0.029115003108636878
TSG	2	0.04640237737366147
OG	1	0.02148825354414913
TSG	2	0.12499578092691167
TSG	5-10	0.002609833131097749
TSG	1	0.10774708421178136
TSG	2	0.0002005354625193829
TSG	10-20	0.00023218367376142652
OG	1	0.004835871648942007
TSG	1	0.08125241246909803
TSG	1	0.2786626549312224
TSG	1	0.10335392095503185
TSG	5-10	0.01366447091793203
OG	1	0.007303586720530723
TSG	1	0.1051950996053145
TSG	20+	0.23536072726185964
OG	20+	0.07034867865716488
TSG	10-20	0.003309496142374133
OG	10-20	0.28653035068378296
TSG	20+	0.1049646973567474
TSG	5-10	0.12815238249572183
OG	20+	0.1327803704968964
OG	10-20	0.020327676727265938
TSG	20+	0.19724176103600488
TSG	10-20	0.43737990742456295
TSG	1	0.1776372784844254
TSG	3-5	0.0039135045956445735
TSG	2	0.03874769019562594
TSG	1	0.09791306390951571
OG	2	0.07216152353243875
TSG	5-10	0.0031813137492671885
OG	2	0.013450087326509616
TSG	10-20	0.0
TSG	3-5	0.0003672611207777303
TSG	1	0.518840717390312
TSG	1	0.20422351683271445
TSG	3-5	0.0009295245778103774
TSG	1	0.3015811662940075
TSG	3-5	0.05319900700176493
OG	1	0.013841744498629415
TSG	1	0.06610201806814428
OG	1	0.059428730429043675
TSG	2	0.14886209434750977
TSG	20+	0.0037293837308703852
TSG	1	0.03670564557311997
OG	1	0.10642160304900923
TSG	3-5	0.08089441990537058
TSG	1	0.06819208173540592
OG	1	0.09354327269295248
TSG	20+	0.011664701220653214
OG	1	0.01341483271065747
TSG	1	0.2046115281968946
TSG	1	0.02396122039274568
TSG	10-20	0.0
TSG	3-5	0.00014930057119357966
TSG	1	0.0021708629072933455
OG	1	0.3042956386803158
TSG	5-10	0.002541742733941968
TSG	1	0.07077858247703339
OG	1	0.05623866023234607
TSG	5-10	0.001664541341130419
TSG	1	0.23493346854457292
OG	3-5	0.02731938095671406
TSG	20+	0.0004463656879186631
TSG	1	0.01897411453815498
TSG	3-5	0.0006614377217937872
OG	1	0.01381283188438018
TSG	2	0.21047459452256737
TSG	1	0.03966859776677791
TSG	1	0.024221874318943407
OG	1	0.0300442892512632
TSG	5-10	0.00016198827006423243
OG	1	0.011122665095353904
TSG	1	0.3443258460197968
OG	1	0.1911811282841392
TSG	3-5	0.0059523887120097535
TSG	2	0.3222299031360935
TSG	10-20	0.00400811654540715
TSG	1	0.1778222412601924
TSG	3-5	0.0015596932189574563
OG	1	0.019563998943728903
TSG	1	0.05681090858636008
TSG	2	0.04979582151696521
TSG	5-10	0.0001392578129413359
OG	1	0.006125829868531684
TSG	1	0.03209102196052184
TSG	1	0.03349664664245894
TSG	10-20	0.0001527647966714996
TSG	1	0.024085055166729777
OG	1	0.5046457248569536
TSG	3-5	0.0014407404862094193
OG	1	0.006864702703680061
TSG	1	0.11131757657822614
TSG	1	0.09094481329218822
TSG	1	0.22053539403564543
TSG	1	0.00019247465543755345
OG	3-5	0.051029351683533154
TSG	1	0.037138836379612086
OG	1	0.036623856055653416
TSG	1	0.078070731795455
TSG	1	0.0010292416595169382
TSG	5-10	0.030961322897546485
OG	1	0.09535490086206762
TSG	3-5	0.06414618350269893
TSG	3-5	0.000828408915756319
OG	1	0.009949089831369464
TSG	1	0.48147454438715737
TSG	5-10	0.0
TSG	1	0.14398692301750995
TSG	1	0.12832160736802314
TSG	1	0.04180892498879442
TSG	20+	0.002526339350265318
TSG	1	0.017263579394369767
TSG	1	0.07329147010348967
TSG	5-10	0.12351220088306172
TSG	2	0.04403794142241656
TSG	5-10	0.0
TSG	3-5	0.12805068889892543
OG	2	0.14940925768521232
OG	1	0.15377227387825468
TSG	10-20	0.05866851976289646
TSG	3-5	0.10714804039848845
OG	3-5	0.09213162697777337
OG	1	0.03774657444424592
TSG	5-10	0.14081118028650402
TSG	2	0.10187070123731644
TSG	2	0.039845342559049146
OG	2	0.02867619684466658
TSG	20+	0.00029667306897521086
OG	1	0.01624870644722537
TSG	1	0.19178370556806287
TSG	2	0.13966492395626098
TSG	3-5	0.2406065561355433
OG	5-10	0.06713380333218498
TSG	1	0.0062810579068069364
OG	1	0.12456329798719672
TSG	10-20	0.13307154651093872
TSG	1	0.10724776972217284
TSG	20+	0.0
OG	2	0.014070294058645638
TSG	3-5	0.17381499112335147
TSG	1	0.27647503005393637
OG	1	0.06750192087768077
TSG	10-20	0.21040786057764296
TSG	3-5	0.0018089981817956042
TSG	5-10	0.0013569693072942575
TSG	3-5	0.0003541890607535903
OG	1	0.06593274899149927
TSG	1	0.08688436408583954
TSG	10-20	0.00019422652137679147
TSG	2	0.2778608557581085
TSG	1	0.007363138793040185
OG	1	0.03477876844808711
TSG	1	5.169037296929979e-05
TSG	1	0.0013926730243823428
TSG	2	0.01673811494808968
TSG	3-5	0.006131707131171007
TSG	3-5	0.07685676191297688
OG	3-5	0.08393946266404052
TSG	5-10	0.0994591474915633
TSG	1	0.13077554045577341
OG	1	0.07935029244830709
TSG	20+	0.09156944403950053
TSG	2	0.1566434265687873
TSG	2	0.3216732106035484
TSG	5-10	0.00351370514885825
TSG	1	0.3234035869453484
TSG	5-10	0.0
TSG	1	0.3590685138628243
TSG	2	0.010445068506828073
OG	3-5	0.002622955763290366
OG	2	0.0
TSG	20+	0.0005960552356440293
OG	1	0.0
OG	1	0.0010838113519926558
TSG	3-5	0.03854170675470813
TSG	1	0.045524182794642085
TSG	5-10	0.0009596267936375386
TSG	1	0.4672272136322626
TSG	3-5	0.0024224084594514804
OG	1	0.03767003129981805
TSG	2	0.07987684971242517
TSG	1	0.05750622275105809
OG	1	0.1195033112126311
TSG	20+	0.00017438504301221113
OG	1	0.08967357909169053
TSG	3-5	0.011857097227394827
OG	1	0.015566720956983096
OG	1	0.1768674967715411
TSG	1	0.06859234351940545
TSG	10-20	0.007237983381802482
OG	1	0.05023697080500802
TSG	3-5	8.19066784530863e-05
OG	1	0.01188289968051267
TSG	5-10	0.1822600369332776
TSG	3-5	0.004471088125403033
TSG	1	0.0
TSG	3-5	0.27574944856819494
TSG	1	0.2257687954870461
TSG	20+	0.00042669377314371893
TSG	1	0.2446801672095703
TSG	3-5	0.0015530639605064222
TSG	1	0.17523150648421837
OG	3-5	0.041120352573592485
OG	2	0.10944224616403404
TSG	5-10	0.045952105270587844
TSG	1	0.05467484007957385
OG	2	0.07016681653089986
TSG	20+	0.010347035014970954
OG	2	0.018152826159997623
TSG	1	0.06006316331806809
TSG	1	0.10148080818905594
TSG	20+	9.203670098771695e-05
TSG	10-20	0.0008448513976324606
OG	1	0.19476697456872108
TSG	5-10	0.0006799108103125413
TSG	2	0.12708596570797226
TSG	2	0.18111276372928836
TSG	1	0.14022453612921024
TSG	2	0.06089644840116609
TSG	20+	0.0004608140616538215
TSG	3-5	0.2897114286316156
TSG	3-5	0.00020158818479899275
TSG	2	0.08153738864768734
TSG	1	0.1286625365951574
TSG	3-5	7.265722885148393e-05
OG	1	0.09233032754704415
TSG	1	0.09003077409827873
TSG	10-20	0.003323778744494036
TSG	1	0.14057371330860124
TSG	3-5	0.0
TSG	1	0.15711514592836076
TSG	20+	0.0
OG	1	0.0032351748440629484
TSG	1	0.18306405734707507
TSG	2	8.78363940050325e-05
OG	1	0.13255007874339797
TSG	5-10	0.00022795963726848778
TSG	1	0.09047150367096106
TSG	1	0.058543065538610724
OG	3-5	0.09680200285622692
OG	5-10	0.061253144167964596
TSG	5-10	0.15941233942642632
TSG	1	0.09184589857778548
OG	1	0.08774711249497967
TSG	20+	0.0003265500484707739
TSG	2	0.1325180510352844
TSG	1	0.15564320582011115
OG	2	0.22126370773320453
TSG	3-5	0.5793446653301739
TSG	5-10	0.001386090893125828
TSG	1	0.1579893725341486
TSG	3-5	0.2891706244552712
TSG	5-10	0.20522428016997316
OG	3-5	0.06834863012029341
OG	1	0.5929474695390988
TSG	5-10	0.06547522235189761
TSG	3-5	0.12788072618837643
TSG	20+	0.00012470172237786546
OG	3-5	0.019234426279821353
TSG	1	0.11776088203721057
TSG	3-5	0.07745414183310739
TSG	5-10	0.05378454444841903
TSG	3-5	0.0022421827498960052
OG	1	0.02565669054615274
TSG	1	0.22644793463821766
TSG	2	0.0
TSG	1	0.2315318046103193
TSG	5-10	0.0013155339985926463
TSG	1	0.35061141418215463
TSG	10-20	0.025977140045482707
OG	1	0.018266558494629985
TSG	1	0.06534690353944382
TSG	1	0.05281666372494706
TSG	20+	0.0002583402987151383
TSG	1	0.13560930776840213
OG	1	0.07891605031039643
TSG	2	0.1610482900860702
TSG	1	0.16057566261975859
OG	1	0.09351261029075852
TSG	10-20	0.0003303154246702973
TSG	10-20	0.17699439131836675
OG	10-20	0.05194216926261048
TSG	1	0.006121186115982453
TSG	20+	0.08051075453304081
TSG	5-10	0.11176315782057891
TSG	20+	0.006499827770609986
OG	1	0.01402111606079141
TSG	10-20	0.13405253169347542
TSG	1	0.293522582721847
TSG	5-10	0.02655764113846461
TSG	3-5	0.07053436793348555
OG	10-20	0.021914609766326542
TSG	3-5	0.003558969534648859
OG	3-5	0.009844584018772256
TSG	10-20	0.07064198148312759
TSG	20+	0.0011753851314701702
TSG	3-5	0.3338513230185661
TSG	1	0.12468149020604599
OG	1	0.06622725778911451
TSG	5-10	0.006035745033180943
OG	1	0.03559142303958639
OG	1	0.08291154059481957
TSG	1	0.14631004945170353
TSG	20+	0.04061398084321901
TSG	1	0.10989249745600065
TSG	1	0.062218211198032586
OG	1	0.06804353625608563
TSG	2	0.10656812256569509
OG	1	0.08570267939359492
TSG	5-10	0.0007618013239091676
TSG	1	0.38284534235667406
TSG	3-5	0.0002323827200517067
OG	1	0.22455995805806345
