cancer_gene_type	mutation_count_bin	gene_exp	TMB_group
TSG	5-10	6.688005638046765e-05	Low (0-5/Mb)
TSG	0-2	0.10987984132184778	Low (0-5/Mb)
TSG	3-5	0.005077268746077943	Low (0-5/Mb)
TSG	3-5	0.193490945596967	High (>=10/Mb)
TSG	20+	0.00031459631440871444	High (>=10/Mb)
TSG	10-20	0.1232464184474924	High (>=10/Mb)
TSG	20+	0.00018525669215556866	High (>=10/Mb)
TSG	5-10	0.19081619422100005	High (>=10/Mb)
TSG	3-5	0.0	Low (0-5/Mb)
TSG	0-2	0.1055798631939463	Low (0-5/Mb)
TSG	0-2	0.1971052016375584	Low (0-5/Mb)
TSG	10-20	0.00041664902252981406	Low (0-5/Mb)
TSG	3-5	0.0004172961923781355	Low (0-5/Mb)
TSG	0-2	0.31276325983532	Low (0-5/Mb)
TSG	0-2	0.12027958589032219	Low (0-5/Mb)
TSG	0-2	0.002700792251218582	Low (0-5/Mb)
TSG	5-10	0.0028329180871942364	Low (0-5/Mb)
TSG	0-2	0.16070512479461152	Low (0-5/Mb)
TSG	0-2	0.0	Low (0-5/Mb)
TSG	3-5	0.13581561354451108	Medium (5-10/Mb)
TSG	20+	0.0005286938823624338	Medium (5-10/Mb)
TSG	0-2	0.4700968361749822	Low (0-5/Mb)
TSG	0-2	0.006125841848384929	Low (0-5/Mb)
TSG	0-2	0.037868998708436706	Low (0-5/Mb)
TSG	0-2	0.08658911698642012	Low (0-5/Mb)
TSG	0-2	0.07324131534996894	Low (0-5/Mb)
TSG	0-2	0.0478962957806739	Low (0-5/Mb)
TSG	10-20	0.03446083527629062	Low (0-5/Mb)
TSG	0-2	0.09921281660889256	Low (0-5/Mb)
TSG	3-5	0.02191978551975235	Low (0-5/Mb)
TSG	0-2	0.1348677528509701	Low (0-5/Mb)
TSG	10-20	0.0003441179747935439	Low (0-5/Mb)
TSG	10-20	0.000145584922673161	Low (0-5/Mb)
TSG	0-2	0.1346513614066745	Low (0-5/Mb)
TSG	0-2	0.25915653467036365	Low (0-5/Mb)
TSG	5-10	0.001019700237124978	Low (0-5/Mb)
TSG	0-2	0.0010263461315612582	Low (0-5/Mb)
TSG	3-5	0.0008815648375461408	Low (0-5/Mb)
TSG	0-2	0.1881878193960634	Low (0-5/Mb)
TSG	0-2	0.21868404570073277	Medium (5-10/Mb)
TSG	10-20	0.005133709872991819	Medium (5-10/Mb)
TSG	0-2	0.18372761358844933	Low (0-5/Mb)
TSG	0-2	0.047866244451115314	Low (0-5/Mb)
TSG	3-5	0.0049285673549592166	Low (0-5/Mb)
TSG	0-2	0.14156474051446222	High (>=10/Mb)
TSG	0-2	0.12111430280336283	High (>=10/Mb)
TSG	20+	0.0	High (>=10/Mb)
TSG	3-5	0.00036730409993074867	Low (0-5/Mb)
TSG	3-5	0.004684714426943122	Low (0-5/Mb)
TSG	0-2	0.03246206490501176	Low (0-5/Mb)
TSG	0-2	0.0020375722581501294	Low (0-5/Mb)
TSG	0-2	0.27735365889835145	Low (0-5/Mb)
TSG	0-2	0.1839804123667309	Low (0-5/Mb)
TSG	20+	0.00033498458096031347	Low (0-5/Mb)
TSG	0-2	0.271265508458146	Low (0-5/Mb)
TSG	0-2	0.017667322400094852	Low (0-5/Mb)
TSG	10-20	0.020978791137400275	Low (0-5/Mb)
TSG	0-2	0.01757116076106246	Low (0-5/Mb)
TSG	0-2	0.10713699024671516	Low (0-5/Mb)
TSG	10-20	0.0004618928525955808	Low (0-5/Mb)
TSG	0-2	0.021895827666403737	Low (0-5/Mb)
TSG	5-10	0.0	Low (0-5/Mb)
TSG	3-5	0.0007293380297372099	Low (0-5/Mb)
TSG	0-2	0.08077490589219107	Low (0-5/Mb)
TSG	0-2	0.06120448177380624	Low (0-5/Mb)
TSG	10-20	0.00016562860544817954	Low (0-5/Mb)
TSG	0-2	0.20229879334334616	Low (0-5/Mb)
TSG	5-10	0.002329380526859984	Medium (5-10/Mb)
TSG	0-2	0.12581942583418726	Medium (5-10/Mb)
TSG	5-10	0.0002598946975785707	Low (0-5/Mb)
TSG	0-2	0.4676006981053586	Low (0-5/Mb)
TSG	10-20	0.004876092875841727	Low (0-5/Mb)
TSG	3-5	0.0008249477327845674	Low (0-5/Mb)
TSG	0-2	0.0333539018881475	Low (0-5/Mb)
TSG	0-2	0.03960645287941022	Low (0-5/Mb)
TSG	5-10	0.0047830254256960095	Low (0-5/Mb)
TSG	0-2	0.2705318134250838	Low (0-5/Mb)
TSG	0-2	0.14087213394088763	Low (0-5/Mb)
TSG	10-20	0.00021236201443268862	Low (0-5/Mb)
TSG	0-2	0.0	Low (0-5/Mb)
TSG	0-2	0.09472178111474962	Low (0-5/Mb)
TSG	0-2	0.04270832413846691	Low (0-5/Mb)
TSG	10-20	0.0005339231365774809	Low (0-5/Mb)
TSG	0-2	0.23481021500402832	Low (0-5/Mb)
TSG	0-2	0.14669322494354647	Low (0-5/Mb)
TSG	5-10	0.015525305454517519	Low (0-5/Mb)
TSG	0-2	0.2709785374178136	Low (0-5/Mb)
TSG	5-10	0.0031600767458195267	Low (0-5/Mb)
TSG	0-2	0.0005047512944947841	Low (0-5/Mb)
TSG	0-2	0.06312731465194227	Low (0-5/Mb)
TSG	10-20	0.0008356824794908047	Low (0-5/Mb)
TSG	0-2	0.4748113044651007	Medium (5-10/Mb)
TSG	20+	0.001760081608169303	Medium (5-10/Mb)
TSG	3-5	0.06153034683139372	High (>=10/Mb)
TSG	0-2	0.16866211571500658	High (>=10/Mb)
TSG	5-10	0.08617414985283721	High (>=10/Mb)
TSG	0-2	0.12244768255278812	High (>=10/Mb)
TSG	20+	0.005415320404306223	High (>=10/Mb)
TSG	0-2	0.10596651933641989	High (>=10/Mb)
TSG	0-2	0.04807238689739259	Low (0-5/Mb)
TSG	5-10	0.00938477952291395	Low (0-5/Mb)
TSG	0-2	0.2288628006776499	Low (0-5/Mb)
TSG	0-2	0.1924140076412942	Low (0-5/Mb)
TSG	0-2	0.0012312617623047746	Low (0-5/Mb)
TSG	5-10	0.001534848899022599	Low (0-5/Mb)
TSG	0-2	0.09655160118610616	High (>=10/Mb)
TSG	5-10	0.12774203251059493	High (>=10/Mb)
TSG	20+	0.00011470962267259345	High (>=10/Mb)
TSG	3-5	0.000722075101663624	Low (0-5/Mb)
TSG	5-10	0.0	Low (0-5/Mb)
TSG	5-10	0.0001048151370152804	Low (0-5/Mb)
TSG	0-2	0.051633418881923146	Low (0-5/Mb)
TSG	5-10	0.0	Low (0-5/Mb)
TSG	0-2	0.0001114115911276704	Low (0-5/Mb)
TSG	0-2	0.10593613617467626	High (>=10/Mb)
TSG	0-2	0.08301930934728875	High (>=10/Mb)
TSG	0-2	0.11637109949476021	High (>=10/Mb)
TSG	20+	0.0001964735743323207	High (>=10/Mb)
TSG	0-2	0.09107911783767185	High (>=10/Mb)
TSG	5-10	0.001394103091434865	Low (0-5/Mb)
TSG	0-2	0.020473392185806797	High (>=10/Mb)
TSG	0-2	0.031010029489376215	High (>=10/Mb)
TSG	0-2	0.03579281488109171	High (>=10/Mb)
TSG	20+	0.0004118467437546315	High (>=10/Mb)
TSG	3-5	0.0014382672437503279	Low (0-5/Mb)
TSG	0-2	0.03849235813923021	High (>=10/Mb)
TSG	0-2	0.159705968544724	High (>=10/Mb)
TSG	0-2	0.006695335941984957	High (>=10/Mb)
TSG	20+	0.0	High (>=10/Mb)
TSG	0-2	0.10552714175755863	High (>=10/Mb)
TSG	0-2	0.08276015112354315	Low (0-5/Mb)
TSG	0-2	0.03548548318253573	Low (0-5/Mb)
TSG	10-20	0.0062489345418933456	Low (0-5/Mb)
TSG	0-2	0.08335278696659316	Medium (5-10/Mb)
TSG	10-20	0.00014619923633502744	Medium (5-10/Mb)
TSG	0-2	0.14096879743827298	Medium (5-10/Mb)
TSG	20+	0.003024492544963116	Low (0-5/Mb)
TSG	0-2	0.18119756802934645	Low (0-5/Mb)
TSG	5-10	0.0006661410290290834	Low (0-5/Mb)
