cancer_gene_type	mutation_count_bin	gene_exp	gene_size_group
TSG	10+	0.00031459631440871444	Q3
TSG	10+	0.1232464184474924	Q2
TSG	10+	0.00018525669215556866	Q3
TSG	5-10	0.19081619422100005	Q1
TSG	2-5	0.0	Q3
TSG	0-2	0.1055798631939463	Q2
TSG	0-2	0.1971052016375584	Q2
TSG	10+	0.00041664902252981406	Q3
TSG	2-5	0.0004172961923781355	Q3
TSG	0-2	0.31276325983532	Q1
TSG	0-2	0.12027958589032219	Q2
TSG	0-2	0.002700792251218582	Q3
TSG	5-10	0.0028329180871942364	Q3
TSG	0-2	0.16070512479461152	Q2
TSG	0-2	0.0	Q3
TSG	2-5	0.13581561354451108	Q2
TSG	10+	0.0005286938823624338	Q3
TSG	0-2	0.4700968361749822	Q1
TSG	0-2	0.006125841848384929	Q3
TSG	0-2	0.037868998708436706	Q1
TSG	0-2	0.08658911698642012	Q1
TSG	0-2	0.07324131534996894	Q2
TSG	0-2	0.0478962957806739	Q1
TSG	10+	0.03446083527629062	Q3
TSG	0-2	0.09921281660889256	Q2
TSG	2-5	0.02191978551975235	Q3
TSG	0-2	0.1348677528509701	Q2
TSG	10+	0.0003441179747935439	Q3
TSG	10+	0.000145584922673161	Q3
TSG	0-2	0.1346513614066745	Q2
TSG	0-2	0.25915653467036365	Q2
TSG	5-10	0.001019700237124978	Q3
TSG	0-2	0.0010263461315612582	Q3
TSG	2-5	0.0008815648375461408	Q3
TSG	0-2	0.1881878193960634	Q1
TSG	0-2	0.21868404570073277	Q1
TSG	10+	0.005133709872991819	Q3
TSG	0-2	0.18372761358844933	Q3
TSG	0-2	0.047866244451115314	Q2
TSG	2-5	0.0049285673549592166	Q3
TSG	0-2	0.14156474051446222	Q2
TSG	0-2	0.12111430280336283	Q2
TSG	10+	0.0	Q3
TSG	2-5	0.00036730409993074867	Q3
TSG	2-5	0.004684714426943122	Q3
TSG	0-2	0.03246206490501176	Q2
TSG	0-2	0.0020375722581501294	Q3
TSG	0-2	0.27735365889835145	Q1
TSG	0-2	0.1839804123667309	Q2
TSG	10+	0.00033498458096031347	Q3
TSG	0-2	0.271265508458146	Q2
TSG	0-2	0.017667322400094852	Q1
TSG	10+	0.020978791137400275	Q3
TSG	0-2	0.01757116076106246	Q3
TSG	0-2	0.10713699024671516	Q2
TSG	10+	0.0004618928525955808	Q3
TSG	0-2	0.021895827666403737	Q1
TSG	5-10	0.0	Q3
TSG	2-5	0.0007293380297372099	Q3
TSG	0-2	0.08077490589219107	Q1
TSG	0-2	0.06120448177380624	Q2
TSG	10+	0.00016562860544817954	Q3
TSG	0-2	0.20229879334334616	Q1
TSG	5-10	0.002329380526859984	Q3
TSG	0-2	0.12581942583418726	Q1
TSG	5-10	0.0002598946975785707	Q3
TSG	0-2	0.4676006981053586	Q2
TSG	10+	0.004876092875841727	Q3
TSG	2-5	0.0008249477327845674	Q3
TSG	0-2	0.0333539018881475	Q1
TSG	0-2	0.03960645287941022	Q2
TSG	5-10	0.0047830254256960095	Q3
TSG	0-2	0.2705318134250838	Q1
TSG	0-2	0.14087213394088763	Q2
TSG	10+	0.00021236201443268862	Q3
TSG	0-2	0.0	Q3
TSG	0-2	0.09472178111474962	Q1
TSG	0-2	0.04270832413846691	Q2
TSG	10+	0.0005339231365774809	Q3
