TF	Expression
ME2	33.8349082023
ME2	19.9335164499
ME2	36.2858140671
ME2	33.2921420332
ME2	13.6605740791
ME2	21.419842733
ME2	69.3230530947
ME2	14.5741138401
ME2	26.6209378482
ME2	24.0459147247
ME2	20.9136417313
ME2	15.2712878958
ME2	68.3744687326
ME2	23.4398195464
ME2	18.8107865283
ME2	25.513598794
ME2	31.684885452
ME2	20.314637268
ME2	27.6272629528
ME2	31.1949625245
ME2	24.3364163556
ME2	32.193806875
ME2	10.1582872335
ME2	35.370661034
ME2	22.6856844237
ME2	18.813372388
BHLHE41	4.54087144854
BHLHE41	6.8817405539
BHLHE41	0.268631057854
BHLHE41	5.15322182107
BHLHE41	4.47115653226
BHLHE41	0.119223526965
BHLHE41	1.90775452902
BHLHE41	5.34709843586
BHLHE41	1.53021905802
BHLHE41	5.7993200274
BHLHE41	1.89061818321
BHLHE41	8.11778974335
BHLHE41	20.2936737386
BHLHE41	25.2048006649
BHLHE41	1.23756906634
BHLHE41	0.648087320171
BHLHE41	15.8007541296
BHLHE41	1.70141581617
BHLHE41	4.83594016698
BHLHE41	4.89203498621
BHLHE41	11.9994331979
BHLHE41	24.2067860375
BHLHE41	0.131923934361
BHLHE41	1.99589579408
BHLHE41	1.8249255543
BHLHE41	8.31578678153
BHLHE41	1.70759776289
BHLHE41	1.00400504423
BHLHE41	4.46181060531
BHLHE41	1.45342730924
BHLHE41	0.838191858237
BHLHE41	7.30000857619
BHLHE41	25.5609566207
BHLHE41	21.7821034815
BHLHE41	0.10833098883
BHLHE41	6.07659251342
BHLHE41	4.58843250639
BHLHE41	2.71475583486
BHLHE41	6.88869320457
BHLHE41	2.22082935369
BHLHE41	0.448352076093
BHLHE41	1.55996925274
BHLHE41	0.390838301607
BHLHE41	0.705600333533
BHLHE41	20.4225234311
BHLHE41	2.01302130634
BHLHE41	0.622861571103
BHLHE41	12.8089551575
BHLHE41	30.972225031
BHLHE41	48.7178106552
BHLHE41	0.90005652247
BHLHE41	2.33927676678
BHLHE41	13.7558002473
BHLHE41	10.3055964619
BHLHE41	48.1178052569
BHLHE41	2.1131020791
BHLHE41	1.84544172213
BHLHE41	0.22050233565
BHLHE41	0.619447267933
BHLHE41	0.477903399846
BHLHE41	2.89955966255
BHLHE41	2.9975593498
BHLHE41	0.981123342494
BHLHE41	0.968639852573
BHLHE41	0.886241451171
BHLHE41	0.451872959667
BHLHE41	12.8631130922
BHLHE41	3.06286616523
BHLHE41	24.5303810271
BHLHE41	3.2976668595
BHLHE41	8.0043872083
BHLHE41	8.97351929187
BHLHE41	3.0778154427
BHLHE41	4.08416611577
BHLHE41	0.9342571153
BHLHE41	1.78562613714
BHLHE41	13.3724070612
BHLHE41	5.7906446156
BHLHE41	14.3816131615
BHLHE41	1.44380833107
BHLHE41	2.50884993279
BHLHE41	2.79782809023
BHLHE41	1.48818963601
BHLHE41	1.60916221017
BHLHE41	0.805714472997
BHLHE41	3.9709279739
BHLHE41	3.70979254395
BHLHE41	2.9995337419
BHLHE41	1.89574007811
BHLHE41	0.651693193179
BHLHE41	2.3146185499
BHLHE41	1.31063778911
BHLHE41	26.5292035453
BHLHE41	1.35480963163
BHLHE41	5.18159761625
BHLHE41	0.944150142322
BHLHE41	13.2368582443
BHLHE41	7.9493415943
BHLHE41	1.02292679304
BHLHE41	7.67326025197
BHLHE41	2.55044107657
BHLHE41	7.30274585085
SSBP3	4.65378795394
SSBP3	7.48351324701
SSBP3	17.5381210648
SSBP3	31.2080740247
SSBP3	13.4181027318
SSBP3	11.1039316358
SSBP3	2.61262089242
SSBP3	1.65766314012
SSBP3	4.43767707144
SSBP3	4.39404329342
SSBP3	9.80575883542
SSBP3	9.03715289856
SSBP3	1.93939360685
SSBP3	3.435957352
SSBP3	13.5476208474
SSBP3	6.81630265124
SSBP3	6.2225615176
SSBP3	2.49082073906
SSBP3	7.34852956162
SSBP3	1.36756656276
SSBP3	3.26069063671
SSBP3	0.77112631667
SSBP3	12.756226473
SSBP3	5.04138691553
SSBP3	1.4313973627
SSBP3	5.00145059376
SSBP3	16.6330453284
SSBP3	11.0698993245
SSBP3	8.82363259983
SSBP3	7.73341810232
SSBP3	6.43713469782
SSBP3	25.6829147038
SSBP3	2.62537884122
SSBP3	5.39392161746
SSBP3	5.94149228116
SSBP3	4.11854347494
SSBP3	2.65873488316
SSBP3	10.2369364721
SSBP3	11.7781353174
SSBP3	23.3749676011
SSBP3	1.42109680901
SSBP3	5.1952094439
SSBP3	2.02016246973
SSBP3	12.292802039
SSBP3	5.8138018091
SSBP3	11.3239985017
SSBP3	9.115025584
SSBP3	9.58901076312
SSBP3	3.18355686743
SSBP3	16.352054869
SSBP3	14.0718455559
SSBP3	4.65968751968
SSBP3	13.2447337081
SSBP3	6.74451045282
SSBP3	10.3777195132
SSBP3	6.50295528072
SSBP3	9.23614736672
SSBP3	5.6970694298
SSBP3	7.10235861591
SSBP3	7.83564535561
SSBP3	6.78663348932
SSBP3	8.33772760116
SSBP3	5.00125773773
SSBP3	5.1733500714
SSBP3	11.2764196378
SSBP3	3.6513611453
SSBP3	4.06525364982
SSBP3	15.5580803765
SSBP3	8.27635509881
SSBP3	24.9441626053
SSBP3	4.00692573896
SSBP3	3.7463925807
